,0,1,2,animal
0,-8.02753166903276,-8.557745144986079,-7.066033723224015,1
1,-20.83404489843845,-6.203215848208466,-13.831170886583047,0
2,5.145155135063629,-10.03479087804333,-5.291555251644425,1
3,-8.327550256595599,2.926731169653609,-4.832696123750352,0
4,-23.275580440216448,-11.968596537129647,-4.606910685615193,1
5,-8.490862045266088,2.368470157013307,-3.404682985319884,0
6,-33.11699882728315,-24.695876953539837,-20.403005765206444,1
7,-13.59096915480957,-7.274230735889337,-4.2625772832716065,1
8,0.2147381019455439,0.6222557318834017,2.8515503357487675,1
9,-36.15785724037318,-23.458732012192357,-19.301807160683516,1
10,-4.015909641498292,7.605928101747995,-3.0515167849409046,0
11,-22.573364704171407,-23.36425811928141,-24.372711060667445,1
12,-12.89490638058736,-4.622935814520137,-12.884546755434323,0
13,-13.42992802850208,-10.22250002911323,-13.177733951268364,1
14,-9.420971360302616,1.0944636398786678,-6.998616068968242,0
15,-33.78361607936592,-21.90611467915133,-17.179552894730758,1
16,-18.566350787818163,-16.004619055570632,-10.722561835670575,1
17,-5.7253135170683285,-6.1083501975951675,-8.761569087512395,1
18,-21.955496986248267,-5.185351196618618,-14.374117179620743,0
19,-10.659537757953917,-7.619899836954875,-18.92457745394383,1
20,-14.398116228614622,-0.3223838267487007,-6.70803756689032,0
21,-8.153295226538265,-0.5779005374385799,-7.770183903133009,0
22,-19.814709708979752,-19.264837672744537,-19.52381356573372,1
23,-2.6999484998174013,-16.911522760987282,-20.298179912567136,1
24,-7.183839698399584,-8.644268493513136,-7.265677946972495,1
25,8.17571598968749,10.15379593537071,9.179622193449706,1
26,-13.775091878760582,-20.35108886624206,-23.258972246978992,1
27,-8.987328224433739,-14.829474650573015,-15.363453067338371,1
28,6.1965942168656065,-0.8850520190042561,-0.315667774568861,1
29,-19.157988753304572,-21.415046175392835,-20.40983743920285,1
30,-6.933520150521531,0.4840091773841503,-6.429423308647661,0
31,-12.793673004375853,-0.2732822236168103,-10.84422714785945,0
32,-10.42814692378044,-4.700963569056864,-20.86037766799331,1
33,-14.268869478154617,-1.3852271678803614,-10.600996234627948,0
34,-7.729142071398913,-6.631611641182841,-9.189151758934717,1
35,-7.178368814955466,0.072019746992737,-3.8408566054767,1
36,-7.51761275233323,7.306040850310061,-2.1210952027917647,0
37,-13.033952627159309,-2.063903712017054,5.951912248094352,1
38,-5.282247260219249,2.6648282784469735,-0.6306574708292958,0
39,-7.444766684405962,-10.929177905388494,-12.13419214078749,1
40,-10.840790662155875,-0.7406100223493901,-10.15996854237345,0
41,-17.403411598154523,-0.4232486305908579,-3.635380236250749,1
42,-7.869343786732683,-13.10437170178738,-7.00260408214445,0
43,-10.829044881868253,-6.424106615713437,-15.887938580126502,1
44,-5.527422331869998,-3.0345900787803464,1.5811738470450365,1
45,-11.414252108799484,1.6677905506335524,-2.445776063989491,1
46,-8.088721354691193,-5.35422741218737,-3.518931710460731,1
47,-2.3612320754070617,4.872741171901742,6.901469599845451,1
48,-11.336332484734754,-3.5052074583408683,-12.032297975887184,1
49,-5.959295942075551,-25.58418257236481,-32.7873818397522,0
50,-13.884792333766084,3.3665029600265095,-1.7334079241014495,1
51,-17.990016762314387,-1.869101938042491,-13.956456914740572,0
52,-7.013235210695407,-9.752233425505011,-10.106450422463723,1
53,-10.71333114643552,-1.8318919971809788,-4.510940861586464,0
54,-26.97765412664471,-10.515732264891268,-10.126185162523049,1
55,-9.97641702881275,0.4626120806864909,-8.721378895888686,0
56,-14.5523453427793,-12.194037961112633,-8.90908225538015,1
57,-4.7140597337290995,-17.017104374143177,-4.190426635843774,1
58,-21.3306245372929,-5.11604521132249,-14.981498633396768,0
59,-18.70476818368479,-10.192586336685965,-8.368726517924006,1
60,-21.295593075309164,-4.981463107143123,-10.4426565493457,0
